,Time,Acc_x,Acc_y,Acc_z
480,1603920585484,-2048,-241,2047
481,1603920585534,-245,-1386,2047
482,1603920585584,-16,-1441,2047
483,1603920585634,107,-1348,2047
484,1603920585684,275,-1483,2047
485,1603920585734,0,-1858,2047
486,1603920585784,302,-1252,1889
487,1603920585834,-343,-549,1164
488,1603920585884,-809,-1099,803
489,1603920585934,-1249,-1275,717
490,1603920585984,-1693,-1288,658
491,1603920586034,-1216,-1400,627
492,1603920586084,-1502,-41,952
493,1603920586134,-1932,46,1019
494,1603920586184,-2048,-1690,1052
495,1603920586234,-2048,-364,675
496,1603920586284,-2048,1011,-998
497,1603920586334,-2048,-155,-2048
498,1603920586384,-2048,-1128,-2048
499,1603920586434,-2048,297,-2048
500,1603920586484,-2048,-1128,-1807
501,1603920586534,2047,1185,-1285
502,1603920586584,-2048,-2048,2047
503,1603920586634,-457,1425,2047
504,1603920586684,-2048,-1391,2047
505,1603920586734,-480,1670,1764
506,1603920586784,-154,-66,1116
507,1603920586834,-381,168,1288
508,1603920586884,-394,301,1293
509,1603920586934,-5,-247,1923
510,1603920586984,-252,480,1828
511,1603920587034,-108,-653,1462
512,1603920587084,-1410,-1113,1686
513,1603920587134,-2048,-2048,2047
514,1603920587184,-2048,-2048,1149
515,1603920587234,-2048,-2048,2047
516,1603920587284,-1302,-1686,2047
517,1603920587334,-270,-1332,2047
518,1603920587384,-725,-640,2047
519,1603920587434,60,-1269,2047
520,1603920587484,2,-2026,2047
521,1603920587534,11,-1831,2047
522,1603920587584,151,-1139,1418
523,1603920587634,-279,-531,770
524,1603920587684,-994,-1210,660
525,1603920587734,-1295,-1271,674
526,1603920587784,-1417,-1159,652
527,1603920587834,-947,-905,949
528,1603920587884,-1969,-216,1436
529,1603920587934,-2048,-907,1369
530,1603920587984,-2048,-1424,694
531,1603920588034,-2048,164,-424
532,1603920588084,-2048,116,-2048
533,1603920588134,-2048,-1180,-2048
534,1603920588184,-2048,-50,-2048
535,1603920588234,-2048,-954,-2048
536,1603920588284,-2048,-1676,-2048
537,1603920588334,-2048,-2048,2047
538,1603920588384,2047,2047,-963
539,1603920588434,-2048,-2001,2047
540,1603920588484,-692,305,1481
541,1603920588534,-156,-21,907
542,1603920588584,-818,-544,912
543,1603920588634,-449,117,1336
544,1603920588684,-156,433,1910
545,1603920588734,41,424,2047
546,1603920588784,-156,-450,1319
547,1603920588834,-1706,-1222,1837
548,1603920588884,-2048,-1916,1856
549,1603920588934,-2048,-2048,2047
550,1603920588984,-2048,-1145,-1087
551,1603920589034,-1935,-554,2047
552,1603920589084,445,-649,2047
553,1603920589134,-93,-1120,2047
554,1603920589184,124,-1402,2047
555,1603920589234,-198,-1807,2047
556,1603920589284,-69,-1956,2047
557,1603920589334,280,-1085,1411
558,1603920589384,-508,-514,948
559,1603920589434,-1125,-917,904
560,1603920589484,-1736,-686,940
561,1603920589534,-1528,-880,803
562,1603920589584,-1362,-396,1061
563,1603920589634,-2028,95,1235
564,1603920589684,-2048,-1506,1248
565,1603920589734,-2048,-1809,631
566,1603920589784,-2048,503,-618
567,1603920589834,-2048,8,-2048
568,1603920589884,-2048,-808,-2048
569,1603920589934,-2048,165,-2048
570,1603920589984,-2048,-1025,-1937
571,1603920590034,-2048,-40,2047
572,1603920590084,-2048,-2048,2047
573,1603920590134,-2048,2047,1687
574,1603920590184,-2048,2047,2047
575,1603920590234,-552,1101,1060
576,1603920590284,-434,-268,1105
577,1603920590334,-330,-37,1143
578,1603920590384,-284,-66,1348
579,1603920590434,76,-174,1878
580,1603920590484,-278,42,1705
581,1603920590534,65,-709,1518
582,1603920590584,-1240,-845,1696
583,1603920590634,-2048,-2048,2047
584,1603920590684,-2048,-2048,1497
585,1603920590734,-2048,-2048,1444
586,1603920590784,-2048,-1834,2047
587,1603920590834,347,-951,2047
588,1603920590884,-197,-940,2047
589,1603920590934,-45,-1332,2047
590,1603920590984,-63,-1985,2047
591,1603920591034,-32,-1668,2047
592,1603920591084,27,-1110,1507
593,1603920591134,-621,-682,923
594,1603920591184,-1201,-955,843
595,1603920591234,-1481,-884,749
596,1603920591284,-1563,-853,650
597,1603920591334,-1239,-698,897
598,1603920591384,-2018,-95,917
599,1603920591434,-2048,-1212,794
600,1603920591484,-2048,-1946,302
601,1603920591534,-2048,798,-829
602,1603920591584,-2048,349,-2048
603,1603920591634,-2048,-931,-2048
604,1603920591684,-2048,357,-2048
605,1603920591734,1251,-2048,-145
606,1603920591784,-2048,-2048,2047
607,1603920591834,-2048,2047,1873
608,1603920591884,-1720,-1942,-2048
609,1603920591934,-1882,-1925,631
610,1603920591984,-441,529,1305
611,1603920592034,-986,-601,692
612,1603920592084,-687,150,1098
613,1603920592134,-210,37,1766
614,1603920592184,-168,318,1819
615,1603920592234,-413,93,1240
616,1603920592284,-1370,-1066,1846
617,1603920592334,-2048,-2048,2011
618,1603920592384,-2048,-2048,1270
